,ŽD–y,ŽD–y,ŽD–y,ŽD–y
Oct-02,149,0,8,1
Nov-02,165,0,8,1
Dec-02,77.5,0,8,1
Jan-03,104,0,8,1
Feb-03,59.5,0,8,1
Mar-03,65,0,8,1
Apr-03,61,0,8,1
May-03,31,0,8,1
Jun-03,68.5,0,8,1
Jul-03,29,0,8,1
Aug-03,90.5,0,8,1
Sep-03,110.5,0,8,1
Oct-03,149.5,0,8,1
Nov-03,64,0,8,1
Dec-03,83.5,0,8,1
Jan-04,139,0,8,1
Feb-04,158.5,0,8,1
Mar-04,42.5,0,8,1
Apr-04,28.5,0,8,1
May-04,76,0,8,1
Jun-04,58,0,8,1
Jul-04,70.5,0,8,1
Aug-04,128,0,8,1
Sep-04,126.5,0,8,1
Oct-04,46,0,8,1
Nov-04,85,0,8,1
Dec-04,172,0,8,1
Jan-05,153.5,0,8,1
Feb-05,120.5,0,8,1
Mar-05,124,0,8,1
Apr-05,55,0,8,1
May-05,62,0,8,1
Jun-05,51,0,8,1
Jul-05,119,0,8,1
Aug-05,114,0,8,1
Sep-05,126,0,8,1
Oct-05,72,0,8,1
Nov-05,150.5,0,8,1
Dec-05,89,0,8,1
Jan-06,132,0,8,1
Feb-06,89,0,8,1
Mar-06,116.5,0,8,1
Apr-06,95,0,8,1
May-06,45,0,8,1
Jun-06,77,0,8,1
Jul-06,106.5,0,8,1
Aug-06,36.5,0,8,1
Sep-06,57.5,0,8,1
Oct-06,90.5,0,8,1
Nov-06,182,0,5,1
Dec-06,118,0,8,1
Jan-07,112,0,8,1
Feb-07,111.5,0,8,1
Mar-07,91,0,8,1
Apr-07,57.5,0,8,1
May-07,87,0,8,1
Jun-07,38,0,8,1
Jul-07,45,0,8,1
Aug-07,65.5,0,8,1
Sep-07,193.5,0,8,1
Oct-07,66.5,0,8,1
Nov-07,75,0,8,1
Dec-07,86,0,8,1
Jan-08,111,0,8,1
Feb-08,111,0,8,1
Mar-08,32,0,8,1
Apr-08,6,0,8,1
May-08,65.5,0,8,1
Jun-08,40,0,8,1
Jul-08,63.5,0,8,1
Aug-08,56,0,8,1
Sep-08,30.5,0,8,1
Oct-08,99.5,0,8,1
Nov-08,86,0,8,1
Dec-08,142,0,8,1
Jan-09,103,0,8,1
Feb-09,143,0,8,1
Mar-09,79,0,8,1
Apr-09,58,0,8,1
May-09,42.5,0,8,1
Jun-09,50,0,8,1
Jul-09,187.5,0,8,1
Aug-09,63,0,8,1
Sep-09,35.5,0,8,1
Oct-09,125,0,8,1
Nov-09,154,0,8,1
Dec-09,106.5,0,8,1
Jan-10,112,0,8,1
Feb-10,59.5,0,8,1
Mar-10,79.5,0,8,1
Apr-10,67.5,0,8,1
May-10,44.5,0,8,1
Jun-10,73,0,8,1
Jul-10,143.5,0,8,1
Aug-10,213.5,0,8,1
Sep-10,92,0,8,1
Oct-10,130.5,0,8,1
Nov-10,194.5,0,8,1
Dec-10,115,0,8,1
Jan-11,120,0,8,1
Feb-11,69.5,0,8,1
Mar-11,60.5,0,8,1
Apr-11,69.5,0,8,1
May-11,56.5,0,8,1
Jun-11,43,0,8,1
Jul-11,129,0,8,1
Aug-11,109,0,8,1
Sep-11,257.5,0,8,1
Oct-11,146,0,8,1
Nov-11,86,0,8,1
Dec-11,107,0,8,1
Jan-12,71.5,0,8,1
Feb-12,57,0,8,1
Mar-12,44.5,0,8,1
Apr-12,34.5,0,8,1
May-12,83.5,0,8,1
Jun-12,51.5,0,8,1
Jul-12,81.5,0,8,1
Aug-12,121,0,8,1
Sep-12,191,0,8,1
Oct-12,115,0,8,1
Nov-12,219,0,8,1
Dec-12,209,0,8,1
Jan-13,101.5,0,8,1
Feb-13,117,0,8,1
Mar-13,108,0,8,1
Apr-13,115,0,8,1
May-13,61.5,0,8,1
Jun-13,62,0,8,1
Jul-13,54.5,0,8,1
Aug-13,183.5,0,8,1
Sep-13,173,0,8,1
Oct-13,131,0,8,1
Nov-13,116,0,8,1
Dec-13,124,0,8,1
Jan-14,111.5,0,8,1
Feb-14,89,0,8,1
Mar-14,64,0,8,1
Apr-14,24,0,8,1
May-14,60,0,8,1
Jun-14,99,0,8,1
Jul-14,76.5,0,8,1
Aug-14,217.5,0,8,1
Sep-14,146,0,8,1
Oct-14,124,0,8,1
Nov-14,64,0,8,1
Dec-14,128,0,8,1
Jan-15,143.5,0,8,1
